id,korean,vietnamese,english,example1_ko,example1_vi,example1_en,example2_ko,example2_vi,example2_en
33,흡연석,Khu vực hút thuốc,Smoking area,"여기는 흡연석입니다.","Đây là khu vực hút thuốc.","This is the smoking area.","흡연석에서 담배를 피워요.","Tôi hút thuốc ở khu vực hút thuốc.","I smoke in the smoking area."
34,금연석,Khu vực không hút thuốc,Non-smoking area,"금연석에 앉고 싶어요.","Tôi muốn ngồi ở khu vực không hút thuốc.","I want to sit in the non-smoking area.","금연석에서는 담배를 피울 수 없어요.","Không được hút thuốc ở khu vực không hút thuốc.","You can't smoke in the non-smoking area."
35,영수증,Hóa đơn,Receipt,"영수증을 받았어요.","Tôi đã nhận hóa đơn.","I received the receipt.","영수증을 보여 주세요.","Vui lòng đưa hóa đơn.","Please show the receipt."
36,계산서,Hóa đơn thanh toán,Bill,"계산서를 주세요.","Cho tôi hóa đơn thanh toán.","Please give me the bill.","계산서를 확인하세요.","Hãy kiểm tra hóa đơn thanh toán.","Check the bill."
37,주택,Nhà riêng,House,"주택에 살고 있어요.","Tôi đang sống ở nhà riêng.","I live in a house.","새 주택을 구입했어요.","Tôi đã mua nhà mới.","I bought a new house."
38,현관,Sảnh,Entrance,"현관에서 신발을 벗어요.","Tôi cởi giày ở sảnh.","I take off my shoes at the entrance.","현관이 넓어요.","Sảnh rộng rãi.","The entrance is spacious."
39,베란다,Ban công,Veranda,"베란다에서 꽃을 키워요.","Tôi trồng hoa ở ban công.","I grow flowers on the veranda.","베란다에 의자가 있어요.","Có ghế ở ban công.","There is a chair on the veranda."
40,오피스텔,Căn hộ văn phòng,Officetel,"오피스텔에 살고 있어요.","Tôi đang sống ở căn hộ văn phòng.","I live in an officetel.","오피스텔은 편리해요.","Căn hộ văn phòng rất tiện lợi.","Officetel is convenient."
41,세탁실,Phòng giặt,Laundry room,"세탁실에서 빨래해요.","Tôi giặt đồ ở phòng giặt.","I do laundry in the laundry room.","세탁실이 넓어요.","Phòng giặt rộng rãi.","The laundry room is spacious."
42,화장대,Bàn trang điểm,Dressing table,"화장대에 앉아서 화장해요.","Tôi ngồi ở bàn trang điểm để trang điểm.","I sit at the dressing table to put on makeup.","화장대가 예뻐요.","Bàn trang điểm đẹp.","The dressing table is pretty."
43,세탁소,Tiệm giặt là,Laundry shop,"세탁소에 옷을 맡겼어요.","Tôi đã gửi quần áo ở tiệm giặt là.","I left my clothes at the laundry shop.","세탁소에서 옷을 찾았어요.","Tôi đã lấy quần áo ở tiệm giặt là.","I picked up my clothes at the laundry shop."
44,미용실,Tiệm làm tóc,Hair salon,"미용실에서 머리를 잘랐어요.","Tôi đã cắt tóc ở tiệm làm tóc.","I got a haircut at the hair salon.","미용실이 집 근처에 있어요.","Tiệm làm tóc gần nhà tôi.","The hair salon is near my house."
45,자취집,Nhà thuê tự túc,Boarding house,"자취집에서 혼자 살아요.","Tôi sống một mình ở nhà thuê.","I live alone in a boarding house.","자취집을 구했어요.","Tôi đã tìm được nhà thuê.","I found a boarding house."
46,지내다,Sống,Live,"한국에서 지내고 있어요.","Tôi đang sống ở Hàn Quốc.","I am living in Korea.","잘 지내세요?","Bạn có khỏe không?","How are you?"
47,지하,Tầng hầm,Basement,"지하에 창고가 있어요.","Có kho ở tầng hầm.","There is a storage room in the basement.","지하에서 공부해요.","Tôi học ở tầng hầm.","I study in the basement."
48,친절하다,Thân thiện,Kind,"그분은 아주 친절해요.","Người đó rất thân thiện.","He/She is very kind.","친절하게 도와줬어요.","Đã giúp đỡ rất thân thiện.","Helped kindly."
49,편리하다,Tiện lợi,Convenient,"이 집은 정말 편리해요.","Nhà này rất tiện lợi.","This house is very convenient.","편리한 위치에 있어요.","Ở vị trí thuận tiện.","It is in a convenient location."
50,편하다,Thoải mái,Comfortable,"이 소파는 정말 편해요.","Cái ghế sofa này rất thoải mái.","This sofa is very comfortable.","편하게 쉬세요.","Hãy nghỉ ngơi thoải mái nhé.","Please rest comfortably."
51,하숙비,Tiền thuê trọ,Boarding fee,"하숙비를 내야 해요.","Tôi phải trả tiền thuê trọ.","I have to pay the boarding fee.","하숙비가 비싸요.","Tiền thuê trọ đắt.","The boarding fee is expensive."
52,하숙집,Nhà trọ,Boarding house,"하숙집을 찾고 있어요.","Tôi đang tìm nhà trọ.","I am looking for a boarding house.","하숙집에서 살아요.","Tôi sống ở nhà trọ.","I live in a boarding house."
53,혼자,Một mình,Alone,"혼자 밥을 먹었어요.","Tôi đã ăn cơm một mình.","I ate alone.","혼자 여행을 갔어요.","Tôi đã đi du lịch một mình.","I traveled alone."
54,기지,Cơ sở/Base,Base,"군사 기지가 있습니다.","Có một cơ sở quân sự.","There is a military base.","기지에서 일해요.","Tôi làm việc ở cơ sở.","I work at the base."
55,녹차,Trà xanh,Green tea,"녹차를 마셨어요.","Tôi đã uống trà xanh.","I drank green tea.","녹차가 건강에 좋아요.","Trà xanh tốt cho sức khỏe.","Green tea is good for health."
56,맛있게,Một cách ngon miệng,Deliciously,"맛있게 드세요.","Chúc ăn ngon miệng.","Enjoy your meal.","음식을 맛있게 먹었어요.","Tôi đã ăn ngon miệng.","I ate deliciously."
57,어서,Nhanh lên/Chào mừng,Quickly/Welcome,"어서 오세요!","Xin mời vào!","Welcome!","어서 가세요.","Đi nhanh lên.","Go quickly."
58,여러,Nhiều,Many,"여러 사람이 모였어요.","Nhiều người đã tụ họp.","Many people gathered.","여러 가지 방법이 있어요.","Có nhiều cách khác nhau.","There are many ways."
59,인삼차,Trà nhân sâm,Ginseng tea,"인삼차를 마셔 보세요.","Hãy thử uống trà nhân sâm.","Try drinking ginseng tea.","인삼차가 유명해요.","Trà nhân sâm nổi tiếng.","Ginseng tea is famous."
60,좀,Một chút,A little,"좀 도와주세요.","Giúp tôi một chút.","Please help me a little.","좀 더 주세요.","Cho tôi thêm một chút.","Give me a little more."
61,특히,Đặc biệt,Especially,"특히 이 음식이 맛있어요.","Món này đặc biệt ngon.","This food is especially delicious.","특히 주말에 바빠요.","Đặc biệt bận vào cuối tuần.","Especially busy on weekends."
62,사이,Giữa,Between,"두 사람 사이에 앉았어요.","Tôi ngồi giữa hai người.","I sat between two people.","책상 사이가 넓어요.","Khoảng cách giữa các bàn rộng.","The space between desks is wide."
63,양쪽,Hai bên,Both sides,"길 양쪽에 나무가 있어요.","Có cây ở hai bên đường.","There are trees on both sides of the road.","양쪽 문을 열었어요.","Đã mở cả hai cửa.","Opened both doors."
64,건너편/맞은편,Bên kia/Opposite side,Opposite side,"건너편에 은행이 있어요.","Có ngân hàng ở bên kia.","There is a bank on the opposite side.","맞은편 집이 커요.","Nhà bên kia lớn.","The house opposite is big."
65,똑바로/쪽,Thẳng,Straight,"똑바로 가세요.","Đi thẳng nhé.","Go straight.","쪽으로 가면 돼요.","Cứ đi thẳng là được.","Just go straight."
66,단독주택,Nhà riêng biệt,Detached house,"단독주택에 살고 있어요.","Tôi đang sống ở nhà riêng biệt.","I live in a detached house.","단독주택을 사고 싶어요.","Tôi muốn mua nhà riêng biệt.","I want to buy a detached house."
67,연구원,Nhà nghiên cứu,Researcher,"연구원으로 일하고 있어요.","Tôi đang làm nhà nghiên cứu.","I am working as a researcher.","연구원이 실험을 합니다.","Nhà nghiên cứu tiến hành thí nghiệm.","The researcher conducts experiments."
68,군인,Quân nhân,Soldier,"군인은 나라를 지킵니다.","Quân nhân bảo vệ đất nước.","Soldiers protect the country.","군인으로 복무했어요.","Tôi đã phục vụ quân đội.","I served as a soldier."
69,사업가,Doanh nhân,Businessperson,"사업가가 회사를 운영해요.","Doanh nhân điều hành công ty.","The businessperson runs a company.","성공한 사업가가 되고 싶어요.","Tôi muốn trở thành doanh nhân thành đạt.","I want to be a successful businessperson."
70,전사업를 하다,Làm kinh doanh trước đây,Used to do business,"저는 전사업를 했어요.","Tôi từng làm kinh doanh.","I used to do business.","전사업를 그만두었어요.","Tôi đã nghỉ kinh doanh.","I quit doing business."
71,변호사,Luật sư,Lawyer,"변호사가 사건을 맡아요.","Luật sư nhận vụ án.","The lawyer takes the case.","변호사에게 상담받았어요.","Tôi đã tư vấn với luật sư.","I consulted a lawyer."
72,경찰관,Cảnh sát,Police officer,"경찰관이 교통을 관리해요.","Cảnh sát quản lý giao thông.","The police officer controls traffic.","경찰관에게 신고하세요.","Hãy báo cho cảnh sát.","Report to the police officer."
73,통역사,Thông dịch viên,Interpreter,"통역사가 회의에서 통역해요.","Thông dịch viên phiên dịch trong cuộc họp.","The interpreter translates at the meeting.","통역사로 일하고 싶어요.","Tôi muốn làm thông dịch viên.","I want to work as an interpreter."
74,농부,Nông dân,Farmer,"농부가 밭에서 일해요.","Nông dân làm việc trên ruộng.","The farmer works in the field.","농부가 채소를 재배해요.","Nông dân trồng rau.","The farmer grows vegetables."
75,전 농부를 짓다,Từng làm nông,Used to farm,"저는 전 농부를 지었어요.","Tôi từng làm nông.","I used to farm.","전 농부를 그만두었어요.","Tôi đã nghỉ làm nông.","I quit farming."
76,장사를 하다,Buôn bán,Do business,"시장에 가서 장사를 해요.","Tôi đi chợ để buôn bán.","I do business at the market.","장사를 시작했어요.","Tôi đã bắt đầu buôn bán.","I started doing business."
77,출장을 가다,Đi công tác,Go on a business trip,"내일 출장을 가요.","Ngày mai tôi đi công tác.","I am going on a business trip tomorrow.","출장을 자주 갑니다.","Tôi thường đi công tác.","I often go on business trips."
78,계시다,Ở (kính ngữ),Be (honorific),"선생님이 집에 계세요.","Thầy giáo đang ở nhà.","The teacher is at home.","어머니께서 방에 계십니다.","Mẹ đang ở trong phòng.","Mother is in the room."
79,고모,Cô (em gái/bạn gái của bố),Aunt (father's sister),"고모 집에 갔어요.","Tôi đã đến nhà cô.","I went to my aunt's house.","고모가 선물을 주셨어요.","Cô đã tặng quà.","My aunt gave me a present."
80,고모부,Chú (chồng của cô),Uncle (aunt's husband),"고모부와 이야기를 했어요.","Tôi đã nói chuyện với chú.","I talked with my uncle.","고모부가 친절하세요.","Chú rất thân thiện.","My uncle is kind."
81,근무,Công việc/ca làm việc,Work/Shift,"병원에서 근무해요.","Tôi làm việc ở bệnh viện.","I work at the hospital.","근무 시간이 길어요.","Thời gian làm việc dài.","The working hours are long."
82,근처,Gần/Quanh đây,Nearby,"학교 근처에 살아요.","Tôi sống gần trường.","I live near the school.","근처에 식당이 많아요.","Có nhiều nhà hàng gần đây.","There are many restaurants nearby."
83,나중에,Sau này,Later,"나중에 다시 만나요.","Gặp lại sau nhé.","Let's meet again later.","나중에 연락할게요.","Tôi sẽ liên lạc sau.","I will contact you later."
84,돌아가시다,Mất (kính ngữ),Pass away (honorific),"할아버지께서 돌아가셨어요.","Ông đã mất.","Grandfather passed away.","친척이 돌아가셨어요.","Người thân đã mất.","A relative passed away."
85,되다,Trở thành,Become,"의사가 되고 싶어요.","Tôi muốn trở thành bác sĩ.","I want to become a doctor.","선생님이 되었어요.","Tôi đã trở thành giáo viên.","I became a teacher."
86,생신,Sinh nhật (kính ngữ),Birthday (honorific),"아버지 생신이 언제예요?","Sinh nhật của bố là khi nào?","When is father's birthday?","생신 축하드려요.","Chúc mừng sinh nhật.","Happy birthday."
87,성함,Tên (kính ngữ),Name (honorific),"성함이 어떻게 되세요?","Tên của bạn là gì?","What is your name?","성함을 알려 주세요.","Vui lòng cho biết tên.","Please tell me your name."
88,연세,Tuổi (kính ngữ),Age (honorific),"연세가 어떻게 되세요?","Bác bao nhiêu tuổi?","How old are you?","연세가 많으세요.","Bác lớn tuổi.","You are old."
89,열심히,Chăm chỉ,Hard,"열심히 공부하세요.","Hãy học chăm chỉ.","Study hard.","일을 열심히 해요.","Làm việc chăm chỉ.","Work hard."
90,외동딸,Con gái duy nhất,Only daughter,"그녀는 외동딸이에요.","Cô ấy là con gái duy nhất.","She is an only daughter.","외동딸로 자랐어요.","Lớn lên là con gái duy nhất.","Grew up as an only daughter."
91,외아들,Con trai duy nhất,Only son,"그는 외아들이에요.","Anh ấy là con trai duy nhất.","He is an only son.","외아들로 자랐어요.","Lớn lên là con trai duy nhất.","Grew up as an only son."
92,유치원생,Học sinh mẫu giáo,Kindergarten student,"유치원생이 노래를 불러요.","Học sinh mẫu giáo hát.","Kindergarten students sing.","유치원생이 많아요.","Có nhiều học sinh mẫu giáo.","There are many kindergarten students."
93,잡수시다,Ăn (kính ngữ),Eat (honorific),"식사 잡수세요.","Mời bác ăn cơm.","Please eat.","아버지께서 잡수십니다.","Bố đang ăn.","Father is eating."
94,전공하다,Chuyên ngành,Major in,"경영학을 전공했어요.","Tôi học chuyên ngành quản trị kinh doanh.","I majored in business administration.","의학을 전공하고 싶어요.","Tôi muốn học chuyên ngành y.","I want to major in medicine."
95,주무시다,Ngủ (kính ngữ),Sleep (honorific),"어머니께서 주무세요.","Mẹ đang ngủ.","Mother is sleeping.","할머니께서 주무십니다.","Bà đang ngủ.","Grandmother is sleeping."
96,진지,Cơm (kính ngữ),Meal (honorific),"진지를 드세요.","Mời bác dùng cơm.","Please have a meal.","진지를 준비했어요.","Đã chuẩn bị cơm.","Meal is prepared."
97,초등학생,Học sinh tiểu học,Elementary school student,"초등학생이 학교에 가요.","Học sinh tiểu học đi học.","Elementary students go to school.","초등학생이 많아요.","Có nhiều học sinh tiểu học.","There are many elementary students."
98,큰아버지,Bác trai (anh của bố),Uncle (father's older brother),"큰아버지께서 오셨어요.","Bác trai đã đến.","Uncle came.","큰아버지 집에 갔어요.","Tôi đã đến nhà bác trai.","I went to uncle's house."
99,큰어머니,Bác gái (vợ của bác trai),Aunt (uncle's wife),"큰어머니께 인사드렸어요.","Tôi đã chào bác gái.","I greeted my aunt.","큰어머니가 요리를 잘하세요.","Bác gái nấu ăn ngon.","Aunt cooks well."
100,쌀쌀하다,Lạnh lạnh,Chilly,"오늘은 날씨가 쌀쌀해요.","Hôm nay thời tiết lạnh lạnh.","The weather is chilly today.","아침에 쌀쌀했어요.","Sáng nay trời lạnh lạnh.","It was chilly in the morning."
101,맑다,Trong lành,Clear,"하늘이 맑아요.","Trời trong xanh.","The sky is clear.","공기가 맑아요.","Không khí trong lành.","The air is clear."
102,흐리다,Âm u,Cloudy,"오늘은 하늘이 흐려요.","Hôm nay trời âm u.","The sky is cloudy today.","흐린 날씨가 계속돼요.","Thời tiết âm u kéo dài.","Cloudy weather continues."
103,구름이 끼다,Có mây,Cloudy,"하늘에 구름이 꼈어요.","Trời có mây.","There are clouds in the sky.","구름이 많이 꼈어요.","Có nhiều mây.","There are many clouds."
104,바람이 불다,Gió thổi,Windy,"바람이 많이 불어요.","Gió thổi mạnh.","The wind blows hard.","바람이 시원하게 불어요.","Gió thổi mát mẻ.","The wind blows cool."
105,목도리,Khăn quàng cổ,Scarf,"목도리를 했어요.","Tôi đã quàng khăn.","I wore a scarf.","목도리가 따뜻해요.","Khăn quàng cổ ấm áp.","The scarf is warm."
106,반바지,Quần short,Shorts,"반바지를 입었어요.","Tôi đã mặc quần short.","I wore shorts.","여름에 반바지를 입어요.","Mặc quần short vào mùa hè.","Wear shorts in summer."
107,반팔옷,Áo ngắn tay,Short-sleeved clothes,"반팔옷을 입으세요.","Hãy mặc áo ngắn tay.","Wear short-sleeved clothes.","반팔옷이 시원해요.","Áo ngắn tay mát mẻ.","Short-sleeved clothes are cool."
108,부츠,Ủng/giày bốt,Boots,"부츠를 샀어요.","Tôi đã mua giày bốt.","I bought boots.","겨울에 부츠를 신어요.","Đi giày bốt vào mùa đông.","Wear boots in winter."
109,비슷하다,Tương tự,Similar,"두 사람이 비슷해요.","Hai người giống nhau.","The two people are similar.","비슷한 색이에요.","Màu sắc tương tự.","It is a similar color."
110,스노보드,Ván trượt tuyết,Snowboard,"스노보드를 탔어요.","Tôi đã trượt ván tuyết.","I rode a snowboard.","스노보드를 배우고 싶어요.","Muốn học trượt ván tuyết.","I want to learn snowboarding."
111,스키,Ván trượt,Ski,"스키를 탔어요.","Tôi đã trượt tuyết.","I skied.","스키가 재미있어요.","Trượt tuyết rất vui.","Skiing is fun."
112,스키장,Sân trượt tuyết,Ski resort,"스키장에 갔어요.","Tôi đã đến sân trượt tuyết.","I went to the ski resort.","스키장에서 놀았어요.","Tôi đã chơi ở sân trượt tuyết.","I played at the ski resort."
113,시끄럽다,Ồn ào,Noisy,"음악이 시끄러워요.","Nhạc ồn ào.","The music is noisy.","시끄러운 곳을 싫어해요.","Tôi không thích nơi ồn ào.","I dislike noisy places."
114,좁다,Hẹp,Narrow,"방이 좁아요.","Phòng hẹp.","The room is narrow.","좁은 길을 걸었어요.","Tôi đã đi trên con đường hẹp.","I walked on a narrow road."
115,추억,Kỷ niệm,Memory,"좋은 추억이 있어요.","Có kỷ niệm đẹp.","I have good memories.","추억을 만들었어요.","Tôi đã tạo kỷ niệm.","I made memories."
116,하얀색,Màu trắng,White,"하얀색 옷을 입었어요.","Tôi đã mặc áo màu trắng.","I wore white clothes.","하얀색 꽃이 예뻐요.","Hoa màu trắng đẹp.","White flowers are pretty."
117,전화를 끊다,Cúp máy,Hang up the phone,"전화를 끊었어요.","Tôi đã cúp máy.","I hung up the phone.","통화 후에 전화를 끊으세요.","Sau khi nói chuyện hãy cúp máy.","Hang up after the call."
118,통화 중이다,Đang nghe máy,The line is busy,"통화 중입니다.","Đang nghe máy.","The line is busy.","계속 통화 중이에요.","Vẫn đang nghe máy.","Still on the line."
119,문자 메시지를 받다,Nhận tin nhắn,Receive a text message,"문자 메시지를 받았어요.","Tôi đã nhận được tin nhắn.","I received a text message.","친구에게서 문자 메시지를 받았어요.","Tôi nhận tin nhắn từ bạn.","I got a text from a friend."
120,답장을 보내다,Gửi hồi âm,Send a reply,"답장을 보냈어요.","Tôi đã gửi hồi âm.","I sent a reply.","친구에게 답장을 보내세요.","Hãy gửi hồi âm cho bạn.","Send a reply to your friend."
121,답장을 받다,Nhận hồi âm,Receive a reply,"답장을 받았어요.","Tôi đã nhận được hồi âm.","I received a reply.","친구에게서 답장을 받았어요.","Tôi nhận hồi âm từ bạn.","I got a reply from a friend."
122,그런데요?,Vâng, tôi nghe đây?/Có việc gì vậy?,Yes?/How can I help you?,"그런데요?","Vâng, tôi nghe đây?","Yes?","거기 김선생님 댁이지요? 그런데요?","Đây là nhà thầy Kim phải không? Vâng, tôi nghe đây.","Is this Mr. Kim's house? Yes?"
123,거기(...)지요?,Đó là ... phải không?,Is that ...?,"거기 학교지요?","Đó là trường học phải không?","Is that the school?","거기 병원이죠?","Đó là bệnh viện phải không?","Is that the hospital?"
124,실례지만 누구세요?,Xin lỗi, ai đấy ạ?,Excuse me, who is this?,"실례지만 누구세요?","Xin lỗi, ai đấy ạ?","Excuse me, who is this?","전화할 때 실례지만 누구세요?라고 물어요.","Khi gọi điện hãy hỏi 'Xin lỗi, ai đấy ạ?'.","When calling, ask 'Excuse me, who is this?'"
125,(____)계세요?,Có ... ở đó không?,Is ... there?,"(____)계세요?","Có ... ở đó không?","Is ... there?","선생님 계세요?","Thầy có ở đó không?","Is the teacher there?"
126,지금 없네요,Bây giờ không có ở đây,Not here right now,"지금 없네요.","Bây giờ không có ở đây.","Not here right now.","지금 집에 없네요.","Bây giờ không có ở nhà.","Not at home right now."
127,바꿔 주시겠어요?,Bạn có thể chuyển máy giúp tôi không?,Could you transfer the call?,"바꿔 주시겠어요?","Bạn có thể chuyển máy giúp tôi không?","Could you transfer the call?","부장님께 바꿔 주시겠어요?","Bạn có thể chuyển máy cho trưởng phòng không?","Could you transfer to the manager?"
128,잠깐 외출하셨는데요,Đã ra ngoài một lát rồi,He/She went out for a while,"잠깐 외출하셨는데요.","Đã ra ngoài một lát rồi.","He/She went out for a while.","지금 잠깐 외출하셨어요.","Bây giờ đã ra ngoài một lát rồi.","He/She just went out for a while."
129,메모 좀 전해주세요/말씀 좀 전해주세요,Xin chuyển lời nhắn/Xin chuyển lời giúp tôi,Please pass on a message,"메모 좀 전해주세요.","Xin chuyển lời nhắn giúp tôi.","Please pass on a message.","말씀 좀 전해주세요.","Xin chuyển lời giúp tôi.","Please pass on my words."
130,메모 전해드리겠습니다/말씀 전해드리겠습니다,Tôi sẽ chuyển lời nhắn/Tôi sẽ chuyển lời,I'll pass on the message,"메모 전해드리겠습니다.","Tôi sẽ chuyển lời nhắn.","I'll pass on the message.","말씀 전해드리겠습니다.","Tôi sẽ chuyển lời.","I'll pass on your words."
131,다시 전화 하겠습니다,Tôi sẽ gọi lại,I will call again,"다시 전화 하겠습니다.","Tôi sẽ gọi lại.","I will call again.","나중에 다시 전화 하겠습니다.","Tôi sẽ gọi lại sau.","I will call again later."
132,누구라고 전해드릴까요?,Tôi nên nói là ai gọi?,Who should I say is calling?,"누구라고 전해드릴까요?","Tôi nên nói là ai gọi?","Who should I say is calling?","전화할 때 누구라고 전해드릴까요?라고 물어요.","Khi gọi điện hãy hỏi 'Tôi nên nói là ai gọi?'.","When calling, ask 'Who should I say is calling?'"
