id,korean,vietnamese,english,example1_ko,example1_vi,example1_en,example2_ko,example2_vi,example2_en
15,약속을 취소하다 (yaksogeul chwisohada),Hủy cuộc hẹn,Cancel an appointment,"갑자기 일이 생겨서 약속을 취소했어요.","Vì có việc đột xuất nên tôi đã hủy cuộc hẹn.","I canceled the appointment because something came up.","그녀는 약속을 취소하고 집에 갔어요.","Cô ấy hủy cuộc hẹn và về nhà.","She canceled the appointment and went home."
16,약속을 바꾸다 (yaksogeul bakkuda),Thay đổi cuộc hẹn,Change an appointment,"시간이 안 맞아서 약속을 바꿨어요.","Vì không khớp thời gian nên tôi đã đổi cuộc hẹn.","I changed the appointment because the time didn’t work.","우리는 장소를 바꿔서 만났어요.","Chúng tôi đã đổi địa điểm để gặp nhau.","We changed the location and met."
17,헤어지다 (hee-eo-ji-da),Chia tay,Break up / Part ways,"그들은 결국 헤어졌어요.","Cuối cùng họ đã chia tay.","They eventually broke up.","공원에서 친구와 헤어졌어요.","Tôi đã chia tay bạn ở công viên.","I parted ways with my friend at the park."
18,피우다 (pi-u-da),Hút / Đốt,To smoke / To light,"그는 길에서 담배를 피워요.","Anh ấy hút thuốc trên đường.","He smokes on the street.","불을 피우고 음식을 만들었어요.","Tôi nhóm lửa và nấu ăn.","I lit a fire and cooked food."
19,대다 (dae-da),Chạm vào / Đặt vào,To touch / To place,"카드를 단말기에 대세요.","Hãy đặt thẻ lên máy quét.","Place your card on the reader.","손을 벽에 대지 마세요.","Đừng chạm tay vào tường.","Don't touch the wall with your hand."
20,떠들다 (tteo-deul-da),Nói chuyện ồn ào,To chatter / To make noise,"수업 중에 떠들지 마세요.","Đừng nói chuyện ồn ào trong lớp.","Don't chatter during class.","그들은 식당에서 너무 떠들었어요.","Họ đã nói chuyện quá ồn ào trong nhà hàng.","They were too noisy in the restaurant."
21,잡담금지 (jap-dam-geum-ji),Cấm nói chuyện riêng,No chatting,"회의 중에는 잡담금지입니다.","Cấm nói chuyện riêng trong cuộc họp.","No chatting during the meeting.","도서관에서는 잡담금지예요.","Ở thư viện thì cấm nói chuyện riêng.","No chatting in the library."
22,출입금지 (chul-ip-geum-ji),Cấm ra vào,No entry,"여기는 출입금지 구역입니다.","Đây là khu vực cấm ra vào.","This is a restricted area.","출입금지 표지판을 봤어요.","Tôi đã thấy biển báo cấm ra vào.","I saw a no-entry sign."
23,복잡하다 (bok-jap-ha-da),Phức tạp,Complicated,"도시의 교통이 너무 복잡해요.","Giao thông ở thành phố rất phức tạp.","The traffic in the city is too complicated.","문제가 복잡해서 해결하기 어려워요.","Vấn đề phức tạp nên khó giải quyết.","The problem is complicated and hard to solve."
24,멀다 (meol-da),Xa,Far,"우리 집은 학교에서 멀어요.","Nhà tôi cách xa trường học.","My house is far from school.","그곳은 너무 멀어서 걸어갈 수 없어요.","Nơi đó quá xa để đi bộ.","It's too far to walk there."
25,짐이 없다 (jim-i eop-da),Không có hành lý,No luggage,"저는 짐이 없어요.","Tôi không có hành lý.","I have no luggage.","그는 빈손으로 왔어요. 짐이 없었어요.","Anh ấy đến tay không. Không có hành lý.","He came empty-handed. No luggage."
26,알다 (al-da),Biết,To know,"저는 그 사실을 알고 있어요.","Tôi biết sự thật đó.","I know that fact.","그녀는 영어를 잘 알아요.","Cô ấy biết tiếng Anh rất rõ.","She knows English well."
27,관장 (gwan-jang),Quản lý / Người phụ trách,Director / Manager,"도서관 관장이 새 규칙을 발표했어요.","Người quản lý thư viện đã công bố quy định mới.","The library director announced new rules.","체육관 관장이 친절해요.","Người phụ trách phòng gym rất thân thiện.","The gym manager is kind."
28,기대다 (gi-dae-da),Dựa vào,To lean,"그는 벽에 기대고 있어요.","Anh ấy đang dựa vào tường.","He is leaning against the wall.","피곤해서 의자에 기대었어요.","Vì mệt nên tôi dựa vào ghế.","I leaned on the chair because I was tired."
29,나가다 (na-ga-da),Ra ngoài / Rời đi,To go out / To leave,"그는 방에서 나갔어요.","Anh ấy đã ra khỏi phòng.","He left the room.","친구들과 밖에 나가서 놀았어요.","Tôi đã ra ngoài chơi với bạn.","I went out to play with friends."
30,쯤 (jjeum),Khoảng / Tầm,About / Around,"세 시쯤 도착할 거예요.","Tôi sẽ đến khoảng ba giờ.","I will arrive around 3 o'clock.","사람이 백 명쯤 있었어요.","Có khoảng một trăm người.","There were about 100 people."
31,문제 (mun-je),Vấn đề,Problem,"이 문제는 어려워요.","Vấn đề này khó.","This problem is difficult.","문제를 해결해야 해요.","Phải giải quyết vấn đề.","We need to solve the problem."
32,날짜 (nal-jja),Ngày tháng,Date,"회의 날짜를 정했어요.","Đã quyết định ngày họp.","We set the meeting date.","여행 날짜를 바꿨어요.","Tôi đã đổi ngày đi du lịch.","I changed the travel date."
33,그대로 (geu-dae-ro),Y như vậy / Nguyên trạng,As it is / Just like that,"그대로 두세요.","Hãy để nguyên như vậy.","Leave it as it is.","그는 그대로 행동했어요.","Anh ấy hành động y như vậy.","He acted just like that."
34,갑자기 (gap-ja-gi),Đột nhiên,Suddenly,"갑자기 비가 내렸어요.","Đột nhiên trời mưa.","Suddenly it started raining.","그는 갑자기 사라졌어요.","Anh ấy biến mất đột ngột.","He suddenly disappeared."
35,변경하다 (byeon-gyeong-ha-da),Thay đổi,To change,"계획을 변경했어요.","Tôi đã thay đổi kế hoạch.","I changed the plan.","시간을 변경할 수 있어요.","Có thể thay đổi thời gian.","You can change the time."
36,답장 (dap-jang),Hồi âm / Trả lời thư,Reply,"그에게 답장을 보냈어요.","Tôi đã gửi hồi âm cho anh ấy.","I sent him a reply.","답장이 아직 안 왔어요.","Vẫn chưa nhận được hồi âm.","The reply hasn't come yet."
37,장소 (jang-so),Địa điểm,Place / Location,"회의 장소는 어디예요?","Địa điểm họp ở đâu vậy?","Where is the meeting place?","좋은 장소를 찾았어요.","Tôi đã tìm được một địa điểm tốt.","I found a good place."
38,말하다 (mal-ha-da),Nói,To speak,"그는 조용히 말했어요.","Anh ấy nói một cách nhẹ nhàng.","He spoke quietly.","선생님께 인사말을 말했어요.","Tôi đã nói lời chào với giáo viên.","I said a greeting to the teacher."
39,통화 (tong-hwa),Cuộc gọi,Phone call,"지금 통화 중이에요.","Hiện đang có cuộc gọi.","I'm on a call right now.","어머니와 통화했어요.","Tôi đã gọi điện cho mẹ.","I had a phone call with my mom."
40,점검하다 (jeom-geom-ha-da),Kiểm tra,To inspect,"기계를 점검해야 해요.","Phải kiểm tra máy móc.","We need to inspect the machine.","시설을 점검하고 있어요.","Đang kiểm tra cơ sở vật chất.","We're inspecting the facilities."
41,정각 (jeong-gak),Đúng giờ,On the dot,"수업은 정각에 시작해요.","Lớp học bắt đầu đúng giờ.","The class starts on the dot.","정각 9시에 도착했어요.","Tôi đã đến đúng 9 giờ.","I arrived at exactly 9 o'clock."
42,절대 (jeol-dae),Tuyệt đối,Absolutely / Never,"절대 포기하지 마세요.","Tuyệt đối đừng bỏ cuộc.","Never give up.","그건 절대 안 돼요.","Điều đó tuyệt đối không được.","That's absolutely not allowed."
43,여러 (yeo-reo),Nhiều,Various / Many,"여러 사람이 참석했어요.","Nhiều người đã tham dự.","Many people attended.","여러 가지 방법이 있어요.","Có nhiều cách khác nhau.","There are various methods."
44,연구실 (yeon-gu-sil),Phòng nghiên cứu,Laboratory,"교수님은 연구실에 계세요.","Giáo sư đang ở phòng nghiên cứu.","The professor is in the lab.","연구실에서 실험을 했어요.","Tôi đã làm thí nghiệm trong phòng nghiên cứu.","I did an experiment in the lab."
45,논문 이야기 (non-mun i-ya-gi),Trao đổi về luận văn,Thesis discussion,"교수님과 논문 이야기를 했어요.","Tôi đã trao đổi luận văn với giáo sư.","I discussed my thesis with the professor.","논문 이야기를 위해 연구실에 갔어요.","Tôi đến phòng nghiên cứu để trao đổi luận văn.","I went to the lab to talk about my thesis."
46,나가다 (na-ga-da),Ra ngoài,To go out,"그는 방에서 나갔어요.","Anh ấy đã ra khỏi phòng.","He went out of the room.","친구들과 밖에 나갔어요.","Tôi đã ra ngoài chơi với bạn.","I went out with friends."
47,나오다 (na-o-da),Ra đến / Xuất hiện,To come out / To appear,"결과가 드디어 나왔어요.","Kết quả cuối cùng đã ra.","The result finally came out.","그는 문 밖으로 나왔어요.","Anh ấy đã bước ra khỏi cửa.","He came out the door."
48,문제가 있다 (mun-je-ga it-da),Có vấn đề,There is a problem,"이 기계에 문제가 있어요.","Máy này có vấn đề.","There's a problem with this machine.","계획에 문제가 생겼어요.","Kế hoạch gặp trục trặc.","There's a problem with the plan."
49,빠지다 (ppa-ji-da),Rơi / Vắng mặt,To fall / To be absent,"핸드폰이 물에 빠졌어요.","Điện thoại rơi xuống nước.","My phone fell into the water.","오늘 수업에 빠졌어요.","Tôi đã vắng mặt trong buổi học hôm nay.","I missed class today."
50,외출하다 (oe-chul-ha-da),Ra ngoài (có việc),To go out (for an errand),"밤에 10시까지 외출할 수 있습니다.","Bạn có thể ra ngoài đến 10 giờ tối.","You can go out until 10 PM.","외출 중이라서 통화가 안 돼요.","Đang ra ngoài nên không nghe máy được.","I'm out so I can't take the call."
51,유의 사항 (yu-ui sa-hyang),Điều cần lưu ý,Precautions / Notes,"안전 유의 사항을 꼭 읽으세요.","Hãy đọc kỹ các lưu ý an toàn.","Please read the safety precautions.","시험 유의 사항을 확인하세요.","Hãy kiểm tra các lưu ý kỳ thi.","Check the exam instructions."
52,잊다 (it-da),Quên,To forget,"숙제를 잊었어요.","Tôi đã quên bài tập.","I forgot the homework.","약속을 잊지 마세요.","Đừng quên cuộc hẹn.","Don't forget the appointment."
53,준비물 (jun-bi-mul),Vật dụng cần chuẩn bị,Things to prepare,"준비물을 미리 챙기세요.","Hãy chuẩn bị đồ dùng trước.","Prepare your materials in advance.","준비물을 잊지 마세요.","Đừng quên đồ dùng cần thiết.","Don't forget your supplies."
54,확인 (hwak-in),Xác nhận,To check / Confirm,"이메일을 확인했어요.","Tôi đã kiểm tra email.","I checked the email.","시간을 다시 확인하세요.","Hãy xác nhận lại thời gian.","Please double-check the time."
55,회비 (hoe-bi),Hội phí,Membership fee,"회비를 내야 해요.","Phải đóng hội phí.","You need to pay the membership fee.","회비는 매달 5천 원이에요.","Hội phí là 5.000 won mỗi tháng.","The fee is 5,000 won per month."
