id,korean,vietnamese,english,description,example1_ko,example1_vi,example1_en,example2_ko,example2_vi,example2_en
25,~아/어 보다,thử...,try to...,Dùng để diễn tả hành động thử làm gì đó.,한국 음식을 먹어 봤어요.,Tôi đã thử ăn món Hàn.,I tried Korean food.,한복을 입어 봤어요.,Tôi đã thử mặc hanbok.,I tried wearing hanbok.
26,(이)나,hoặc...,or...,Dùng để nối hai danh từ mang nghĩa lựa chọn hoặc liệt kê.,커피나 차를 마셔요.,Uống cà phê hoặc trà.,I drink coffee or tea.,책이나 잡지를 읽어요.,Đọc sách hoặc tạp chí.,I read books or magazines.
27,~(으)면 좋겠다,giá mà...,I wish/It would be nice if...,Dùng để diễn tả mong muốn hoặc hy vọng.,휴가를 가면 좋겠어요.,Giá mà được đi nghỉ.,I wish I could go on vacation.,돈이 많으면 좋겠어요.,Giá mà có nhiều tiền.,It would be nice to have a lot of money.
28,~기 위해서,để...,in order to...,Dùng để diễn tả mục đích của hành động.,건강을 지키기 위해서 운동해요.,Tập thể dục để giữ sức khỏe.,I exercise to stay healthy.,시험을 잘 보기 위해서 공부해요.,Học để thi tốt.,I study to do well on the exam.
29,~아/어지다,trở nên...,become...,Dùng để diễn tả sự thay đổi trạng thái.,날씨가 추워졌어요.,Thời tiết đã trở nên lạnh.,The weather became cold.,기분이 좋아졌어요.,Tâm trạng đã tốt lên.,My mood got better.
30,~기 때문에,vì...,because...,Dùng để nêu lý do rõ ràng cho hành động hoặc kết quả.,피곤하기 때문에 쉬었어요.,Vì mệt nên tôi đã nghỉ.,I rested because I was tired.,비가 오기 때문에 우산을 써요.,Vì trời mưa nên dùng ô.,I use an umbrella because it's raining.
31,ㅎ 불규칙,bất quy tắc ㅎ,irregular ㅎ,Dạng bất quy tắc khi gốc từ có phụ âm “ㅎ” bị lược bỏ khi kết hợp với một số đuôi.,하얗다 → 하얀 옷,Áo trắng.,White clothes.,노랗다 → 노란 꽃,Hoa vàng.,Yellow flower.
32,~거나,hoặc...,or...,Dùng để nối hai động từ hoặc tính từ mang nghĩa lựa chọn.,공부하거나 운동해요.,Học hoặc tập thể dục.,I study or exercise.,책을 읽거나 음악을 들어요.,Đọc sách hoặc nghe nhạc.,I read books or listen to music.
33,~고 있다,đang...,be -ing...,Dùng để diễn tả hành động đang diễn ra.,밥을 먹고 있어요.,Tôi đang ăn cơm.,I am eating.,책을 읽고 있어요.,Tôi đang đọc sách.,I am reading a book.
34,~(으)ㄴ 적이 있다,đã từng...,have ever...,Dùng để diễn tả kinh nghiệm đã từng làm gì.,한국에 간 적이 있어요.,Tôi đã từng đến Hàn Quốc.,I have been to Korea.,김치를 먹은 적이 있어요.,Tôi đã từng ăn kimchi.,I have eaten kimchi.
35,~(으)면서,vừa...vừa...,while...,Dùng để diễn tả hai hành động xảy ra đồng thời.,음악을 들으면서 공부해요.,Vừa nghe nhạc vừa học.,I study while listening to music.,운전하면서 전화하지 마세요.,Đừng gọi điện khi đang lái xe.,Don't call while driving.
36,요,đuôi lịch sự trong hội thoại,polite sentence ending,Dùng để trả lời câu hỏi hoặc xác nhận thông tin mà không cần lặp lại toàn bộ câu nói, vẫn giữ sự lịch sự.,A: 밥 먹었어요?\nB: 네, 먹었어요.,A: Bạn đã ăn chưa?\nB: Vâng, tôi đã ăn rồi.,A: Did you eat?\nB: Yes, I did.,A: 학교에 가요?\nB: 네, 가요.,A: Bạn đi học à?\nB: Vâng, đi.,A: Are you going to school?\nB: Yes, I am.
37,~(으)면 안 되다,không được...,must not...,Dùng để diễn tả hành động bị cấm hoặc không nên làm.,여기서 담배를 피우면 안 돼요.,Không được hút thuốc ở đây.,You must not smoke here.,수업 시간에 자면 안 돼요.,Không được ngủ trong giờ học.,You must not sleep during class.
38,(이)나 (nhấn mạnh),tận...,as much as...,Dùng để nhấn mạnh số lượng lớn hoặc vượt mong đợi.,사과를 다섯 개나 먹었어요.,Tôi đã ăn tận 5 quả táo.,I ate as many as five apples.,학생이 백 명이나 있어요.,Có tận 100 học sinh.,There are as many as 100 students.
39,~(으)ㄹ 것 같다,có vẻ sẽ...,it seems like...,Dùng để diễn tả dự đoán hoặc cảm nhận.,비가 올 것 같아요.,Có vẻ trời sẽ mưa.,It looks like it will rain.,시험이 어려울 것 같아요.,Có vẻ kỳ thi sẽ khó.,The exam seems difficult.
40,ㅅ 불규칙,bất quy tắc ㅅ,irregular ㅅ,Dạng bất quy tắc khi gốc từ có phụ âm “ㅅ” bị lược bỏ khi kết hợp với nguyên âm.,짓다 → 지어요,Xây → Tôi xây.,To build → I build.,낫다 → 나아요,Khỏi → Tôi khỏi bệnh.,To recover → I recover.
41,~(으)ㄴ 지,từ khi...,since...,Dùng để diễn tả khoảng thời gian đã trôi qua kể từ khi hành động xảy ra.,한국에 온 지 1년 됐어요.,Đã một năm kể từ khi tôi đến Hàn Quốc.,It’s been a year since I came to Korea.,운동을 시작한 지 두 달 됐어요.,Đã hai tháng kể từ khi tôi bắt đầu tập thể dục.,It’s been two months since I started exercising.
42,~(으)ㄴ 후에,sau khi...,after...,Dùng để diễn tả hành động xảy ra sau một hành động khác.,밥을 먹은 후에 이를 닦아요.,Sau khi ăn thì đánh răng.,I brush my teeth after eating.,수업이 끝난 후에 집에 가요.,Sau khi kết thúc lớp học thì về nhà.,I go home after class ends.
43,~기로 하다,quyết định...,decide to...,Dùng để diễn tả quyết định thực hiện hành động nào đó.,운동하기로 했어요.,Tôi đã quyết định tập thể dục.,I decided to exercise.,한국어를 배우기로 했어요.,Tôi đã quyết định học tiếng Hàn.,I decided to learn Korean.
44,에게서,từ (ai đó),from someone,Dùng để chỉ nguồn gốc của hành động hoặc vật đến từ ai đó.,친구에게서 선물을 받았어요.,Tôi nhận được quà từ bạn.,I received a gift from a friend.,선생님에게서 이메일이 왔어요.,Tôi nhận được email từ giáo viên.,I got an email from the teacher.
45,한테서,từ (ai đó) – thân mật,from someone (casual),Dạng thân mật của 에게서, dùng trong giao tiếp hàng ngày.,동생한테서 편지를 받았어요.,Tôi nhận được thư từ em.,I got a letter from my younger sibling.,친구한테서 전화가 왔어요.,Tôi nhận được cuộc gọi từ bạn.,I got a call from a friend.
46,~(으)ㄴ/는데,...nhưng...,but/and...,Dùng để nối hai mệnh đề, biểu thị sự tương phản hoặc bổ sung thông tin.,이 음식은 맵지 않은데 맛있어요.,Món này không cay nhưng ngon.,This food isn’t spicy but it’s tasty.,날씨는 좋은데 바람이 불어요.,Thời tiết đẹp nhưng có gió.,The weather is nice but windy.
47,르 불규칙,bất quy tắc 르,irregular 르,Dạng bất quy tắc khi gốc từ có “르” biến đổi thành “ㄹㄹ” khi kết hợp với một số đuôi.,모르다 → 몰라요,Tôi không biết.,I don’t know.,빠르다 → 빨라요,Nhanh → Nhanh quá.,Fast → It’s fast.
